x y g
62551.893754 412142.741770 -9.769357
58878.887322 412028.083050 -18.075151
55205.869068 411913.422520 -23.900044
51532.837742 411798.760453 -26.417031
47859.792188 411684.097103 -30.477513
44186.731455 411569.432863 -33.883763
40513.654251 411454.767940 -34.570112
36840.559500 411340.102646 -31.835954
33167.446126 411225.437312 -24.922450
29494.312918 411110.772193 -20.032406
25821.158891 410996.107630 -18.719625
22147.982768 410881.443867 -18.077610
18474.783576 410766.781248 -17.325259
14801.560042 410652.120030 -15.764053
11128.311133 410537.460526 -12.020880
7455.035740 410422.803038 -4.547489
3781.732757 410308.147874 4.426946
108.400942 410193.495282 12.589976
330833.579621 416791.904054 9.175484
327158.424920 416678.192072 8.073594
323483.339856 416564.456688 6.524125
319808.323323 416450.698170 5.121058
316133.374204 416336.916838 -1.969610
312458.491398 416223.112983 -10.626020
308783.673726 416109.286903 -15.607344
305108.920170 415995.438916 -19.192018
301434.229487 415881.569300 -17.192050
297759.600601 415767.678343 -12.132129
294085.032423 415653.766384 -7.201538
290410.523817 415539.833681 -9.509692
286736.073557 415425.880528 -8.289188
283061.680731 415311.907278 -4.514666
279387.343986 415197.914161 11.507109
275713.062344 415083.901509 34.872867
272038.834679 414969.869638 50.823542
268364.659735 414855.818787 42.345576
264690.536540 414741.749314 36.024304
261016.463997 414627.661509 40.684990
257342.440780 414513.555624 48.967077
253668.465942 414399.431999 55.821397
249994.538320 414285.290928 67.401180
246320.656759 414171.132684 73.012628
242646.820177 414056.957587 64.150973
238973.027432 413942.765915 52.610760
235299.277373 413828.557984 40.959718
231625.568942 413714.334091 36.794973
227951.901010 413600.094529 42.278874
224278.272371 413485.839586 58.645115
220604.681982 413371.569573 76.149139
216931.128660 413257.284744 84.140501
213257.611353 413142.985470 79.931464
209584.128896 413028.671991 68.894816
205910.680187 412914.344619 62.813299
202237.264128 412800.003667 56.773414
198563.879481 412685.649404 47.495510
194890.525318 412571.282157 43.289560
191217.200333 412456.902191 42.902309
187543.903454 412342.509810 35.781984
183870.633611 412228.105335 13.812482
180197.389674 412113.689038 -5.922481
176524.170504 411999.261241 -19.364227
