NaN	NaN	z	density	stdev
570199.91167	4730308.36008	6450	2.52046576636008	NaN
570199.91167	4730308.36008	7050	2.55195936573064	NaN
570199.91167	4730308.36008	7650	2.57555045362608	NaN
570199.91167	4730308.36008	8250	2.60010456577071	NaN
570199.91167	4730308.36008	8850	2.6258803855225	NaN
570199.91167	4730308.36008	9450	2.65296269177227	NaN
570199.91167	4730308.36008	10050	2.68142220600205	NaN
570199.91167	4730308.36008	10650	2.71131637987397	NaN
570199.91167	4730308.36008	11250	2.74246712456784	NaN
570199.91167	4730308.36008	11850	2.77557688962631	NaN
570199.91167	4730308.36008	12450	2.80951020485014	NaN
570199.91167	4730308.36008	13050	2.84469343440717	NaN
570199.91167	4730308.36008	13650	2.87317373336269	NaN
570199.91167	4730308.36008	14250	2.88136324444824	NaN
570199.91167	4730308.36008	14850	2.88615132883446	NaN
570199.91167	4730308.36008	15450	2.89123160289519	NaN
570199.91167	4730308.36008	16050	2.89633874536653	NaN
570199.91167	4730308.36008	16650	2.9014727292646	NaN
570199.91167	4730308.36008	17250	2.90690588831236	NaN
570199.91167	4730308.36008	17850	2.91236871931291	NaN
570199.91167	4730308.36008	18450	2.91731060413218	NaN
570199.91167	4730308.36008	19050	2.92255304375558	NaN
570199.91167	4730308.36008	19650	2.92782215438547	NaN
570199.91167	4730308.36008	20250	2.93311789577178	NaN
570199.91167	4730308.36008	20850	2.93815944080227	NaN
570199.91167	4730308.36008	21450	2.94378909944131	NaN
570199.91167	4730308.36008	22050	2.94916447094672	NaN
570199.91167	4730308.36008	22650	2.95485132979343	NaN
570199.91167	4730308.36008	23250	2.95999451141025	NaN
570199.91167	4730308.36008	23850	2.96516133935409	NaN
570199.91167	4730308.36008	24450	2.968042	NaN
570199.91167	4730308.36008	25050	2.968042	NaN
570199.91167	4730308.36008	25650	2.968042	NaN
570199.91167	4730308.36008	26250	2.968042	NaN
570199.91167	4730308.36008	26850	2.968042	NaN
570199.91167	4730308.36008	27450	2.968042	NaN
570199.91167	4730308.36008	28050	2.968042	NaN
570199.91167	4730308.36008	28650	2.968042	NaN
570199.91167	4730308.36008	29250	2.968042	NaN
570199.91167	4730308.36008	29850	2.968042	NaN
569370.595359	4727297.15608	400	1.63056545913013	NaN
569370.595359	4727297.15608	1000	1.63056545913013	NaN
569370.595359	4727297.15608	1600	1.63056545913013	NaN
569370.595359	4727297.15608	2200	1.6312108428995	NaN
569370.595359	4727297.15608	2800	1.70841824098156	NaN
569370.595359	4727297.15608	3400	2.03938672580169	NaN
569370.595359	4727297.15608	4000	2.2844293147714	NaN
569370.595359	4727297.15608	4600	2.37504295178734	NaN
569370.595359	4727297.15608	5200	2.43318990678707	NaN
569370.595359	4727297.15608	5800	2.49088958225684	NaN
569370.595359	4727297.15608	6400	2.53938841386608	NaN
569370.595359	4727297.15608	7000	2.56729269676134	NaN
569370.595359	4727297.15608	7600	2.59075862366686	NaN
569370.595359	4727297.15608	8200	2.61534576558543	NaN
569370.595359	4727297.15608	8800	2.64132597851717	NaN
569370.595359	4727297.15608	9400	2.66820334233027	NaN
569370.595359	4727297.15608	10000	2.69660217826259	NaN
569370.595359	4727297.15608	10600	2.72659815527924	NaN
569370.595359	4727297.15608	11200	2.7573459675181	NaN
569370.595359	4727297.15608	11800	2.79020831734627	NaN
569370.595359	4727297.15608	12400	2.82355420650469	NaN
569370.595359	4727297.15608	13000	2.85700996936355	NaN
569370.595359	4727297.15608	13600	2.87528029164317	NaN
569370.595359	4727297.15608	14200	2.88162861558656	NaN
569370.595359	4727297.15608	14800	2.88641804142088	NaN
569370.595359	4727297.15608	15400	2.89149973024408	NaN
569370.595359	4727297.15608	16000	2.89606927897174	NaN
569370.595359	4727297.15608	16600	2.90120185087275	NaN
569370.595359	4727297.15608	17200	2.9063612365411	NaN
569370.595359	4727297.15608	17800	2.91072675675666	NaN
569370.595359	4727297.15608	18400	2.91648529111447	NaN
569370.595359	4727297.15608	19000	2.92144715451803	NaN
569370.595359	4727297.15608	19600	2.92615534575697	NaN
569370.595359	4727297.15608	20200	2.93172170002767	NaN
569370.595359	4727297.15608	20800	2.93647627660584	NaN
569370.595359	4727297.15608	21400	2.94125211643211	NaN
569370.595359	4727297.15608	22000	2.94689793005734	NaN
569370.595359	4727297.15608	22600	2.95171993419067	NaN
569370.595359	4727297.15608	23200	2.95713426610729	NaN
569370.595359	4727297.15608	23800	2.96257497243109	NaN
569370.595359	4727297.15608	24400	2.96775360638136	NaN
569370.595359	4727297.15608	25000	2.968042	NaN
569370.595359	4727297.15608	25600	2.968042	NaN
569370.595359	4727297.15608	26200	2.968042	NaN
569370.595359	4727297.15608	26800	2.968042	NaN
569370.595359	4727297.15608	27400	2.968042	NaN
569370.595359	4727297.15608	28000	2.968042	NaN
569370.595359	4727297.15608	28600	2.968042	NaN
569370.595359	4727297.15608	29200	2.968042	NaN
569370.595359	4727297.15608	29800	2.968042	NaN
568542.084824	4724285.82861	350	1.63056545913013	NaN
568542.084824	4724285.82861	950	1.63056545913013	NaN
568542.084824	4724285.82861	1550	1.63056545913013	NaN
568542.084824	4724285.82861	2150	1.63056545913013	NaN
568542.084824	4724285.82861	2750	1.67405300202473	NaN
568542.084824	4724285.82861	3350	2.01606349832438	NaN
568542.084824	4724285.82861	3950	2.27781707053956	NaN
568542.084824	4724285.82861	4550	2.38020154455941	NaN
568542.084824	4724285.82861	5150	2.44140424806737	NaN
