X,Y,Z
612246.694552,4860344.74098,42.7289369709
608720.013786,4861379.98451,35.1054969486
605193.366917,4862415.20035,39.6332687929
601666.7528949999,4863450.389140001,55.1782032923
598140.170829,4864485.551519999,73.2599146472
594613.619679,4865520.6881099995,82.0147267716
591087.098486,4866555.79955,78.8924724465
587560.606377,4867590.88645,68.94058527109999
584034.14225,4868625.94948,59.351208766199996
580507.7051649999,4869660.98923,55.044435893
576981.294186,4870696.00636,53.415342645600006
573454.908307,4871731.00149,51.334033616499994
569928.546525,4872765.97525,47.3055912689
566402.207922,4873800.928280001,29.238154506399997
562875.891507,4874835.861190001,1.38083775381
559349.5962960001,4875870.77464,-18.0020920831
555823.321385,4876905.66924,-30.468925869299998
552297.065647,4877940.54564,-44.227624515600006
548770.8281899999,4878975.40444,-60.4641549827
545244.6081279999,4880010.24631,-74.49544823789999
541718.40435,4881045.07185,-78.3557020872
538192.21598,4882079.8817,-77.5906958708
534666.041995,4883114.67649,-80.8808215166
531139.881377,4884149.45686,-89.2882930582
527613.7332670001,4885184.22343,-98.25594338360001
524087.596581,4886218.97683,-102.807222778
520561.470471,4887253.7177,-96.17778556959999
517035.353788,4888288.4466699995,-79.2356065154
513509.245771,4889323.16436,-52.6043617724
509983.145204,4890357.87141,-27.560643869899998
506457.05133900006,4891392.56845,-6.97804999032
502930.96304700006,4892427.2561,12.0528260178
499404.87943599996,4893461.93501,30.1285157442
495878.79954399995,4894496.60579,43.626896577299995
492352.72233500006,4895531.26908,45.3476252597
488826.64678,4896565.92552,27.3195121758
485300.57208599994,4897600.57571,5.911494781869999
481774.49715699995,4898635.22033,-5.6827325030499996
478248.421058,4899669.85996,-2.10506391345
474722.342704,4900704.49526,8.07722884462
471196.26132399996,4901739.12685,15.9048354452
467670.175767,4902773.755369999,19.673975856800002
464144.085197,4903808.38143,19.1010608192
460617.98847299995,4904843.00569,15.6240635104
457091.88484799996,4905877.62875,11.178973038399999
453565.77311300003,4906912.25127,3.4137181054799997
450039.65245500003,4907946.87385,-3.5358298675300004
446513.521832,4908981.49715,-9.769357163939999
442987.380209,4910016.121780001,-18.0751512126
439461.22678699996,4911050.748369999,-23.900043561300002
435935.060465,4912085.37757,-26.417031049899997
432408.88022299996,4913120.009980001,-30.477512815900003
428882.68527899997,4914154.646269999,-33.8837634758
425356.47446999996,4915189.28704,-34.5701118048
421830.246871,4916223.93292,-31.835953589299997
418304.001561,4917258.584559999,-24.922449544699997
414777.737471,4918293.24258,-20.0324056265
411251.45376999996,4919327.90761,-18.7196247296
407725.14931999997,4920362.58028,-18.0776099114
404198.823303,4921397.26122,-17.3252587109
400672.474591,4922431.9510699995,-15.764052937799999
397146.10229899996,4923466.65045,-12.0208800218
393619.70546599996,4924501.35999,-4.5474885358199995
390093.283139,4925536.08033,4.42694624142
386566.834214,4926570.81209,12.5899763217
702908.007408,4829870.52795,9.17548367405
699380.119059,4830906.72112,8.07359404178
695852.289599,4831942.87037,6.52412547784
692324.5180609999,4832978.9763,5.12105788325
688796.803484,4834015.0395599995,-1.969609653
685269.1449109999,4835051.060769999,-10.626020236799999
681741.5413149999,4836087.040580001,-15.607344099
678213.991827,4837122.97961,-19.1920181434
674686.495353,4838158.87851,-17.1920501659
671159.05096,4839194.73789,-12.1321293875
667631.657719,4840230.55841,-7.201537634430001
664104.31463,4841266.34067,-9.50969155551
660577.02062,4842302.08533,-8.28918774042
657049.774932,4843337.79301,-4.51466558907
653522.576352,4844373.46435,11.5071085727
649995.424054,4845409.09997,34.8728668361
646468.317067,4846444.7005199995,50.823542421899994
642941.25427,4847480.26662,42.345576214699996
639414.234853,4848515.798909999,36.024303914099995
635887.257862,4849551.29801,40.6849895023
632360.322116,4850586.76457,48.9670766842
628833.4268220001,4851622.19921,55.82139690020001
625306.5709640001,4852657.60257,67.4011804642
621779.753532,4853692.975269999,73.012627505
618252.973596,4854728.31795,64.15097292899999
614726.230157,4855763.63123,52.610759906999995
611199.5222199999,4856798.91577,40.9597179481
607672.848873,4857834.172180001,36.7949731797
604146.209133,4858869.40109,42.2788738258
600619.601944,4859904.60315,58.6451145295
597093.026412,4860939.77898,76.14913921729999
593566.481492,4861974.9291900005,84.1405007285
590039.966299,4863010.05446,79.93146378029999
586513.4798020001,4864045.15538,68.8948161326
582987.021049,4865080.23259,62.8132993479
579460.589095,4866115.286730001,56.7734135833
575934.182848,4867150.3184400005,47.495509507600005
572407.801527,4868185.328319999,43.2895599111
568881.4439739999,4869220.3170300005,42.9023087548
565355.1092640001,4870255.28519,35.7819835647
561828.796481,4871290.233440001,13.812482195
558302.5046359999,4872325.16239,-5.9224813663499996
554776.232746,4873360.0727,-19.3642269508
551249.979833,4874394.96497,-34.9482629437
547723.744847,4875429.83985,-53.5513975372
544197.526976,4876464.69797,-67.16449141220001
540671.325105,4877499.53996,-71.9075708261
537145.1382779999,4878534.36645,-73.6020984026
533618.965621,4879569.178069999,-77.8799703812
530092.806113,4880603.97544,-86.58789480440001
526566.6586600001,4881638.759219999,-99.662074564
523040.522484,4882673.53001,-109.59926475799999
519514.39650100004,4883708.28845,-107.060417024
515988.279711,4884743.035180001,-93.2721453502
512462.171199,4885777.770819999,-69.4327994386
508936.07005100005,4886812.496,-44.834415909200004
505409.97513100004,4887847.21137,-20.457086071
501883.88553699997,4888881.91753,4.49714388566
498357.800376,4889916.61514,25.543202296700002
494831.71860200004,4890951.30481,42.4137202033
491305.63925500005,4891985.98718,48.2132326477
487779.561301,4893020.66287,33.2404119024
484253.48386800004,4894055.33253,9.421537056910001
480727.405857,4895089.99676,-5.32452590486
477201.326405,4896124.65623,-3.0667756787
473675.244579,4897159.31154,7.055605346419999
470149.15921899996,4898193.963330001,17.7310962577
466623.06955600006,4899228.61224,24.2513990134
463096.97444300004,4900263.258880001,25.225954005
459570.87304300006,4901297.9039,23.778219633699997
456044.764297,4902332.54791,21.488836400300002
452518.64722600003,4903367.19156,14.556638395799999
448992.520936,4904401.835469999,7.55431538962
445466.38438100007,4905436.480280001,-1.1262754584899999
441940.236679,4906471.12661,-11.440323199999998
438414.076717,4907505.775090001,-18.0245074101
434887.90362399997,4908540.42636,-21.4553809539
431361.71629799996,4909575.081040001,-25.580189745
427835.513956,4910609.73978,-30.2033979294
