x_c y_c z_c m m_abs mu_pr mu_abs sigma_pr post_stdev post_res
-500000.000000 58914.423973 3810.774234 -748.9729 1008.0405 -730.0134 1027.0000 5.0000 3.5044 0.5088
-500000.000000 58914.423973 4822.655752 364.8605 2910.6742 354.1863 2900.0000 20.0000 12.7144 0.5959
-500000.000000 58914.423973 5953.571511 174.4796 2864.4167 210.0629 2900.0000 50.0000 25.5925 0.7380
-500000.000000 58914.423973 7203.521511 -3.7989 2747.2514 148.9498 2900.0000 100.0000 40.6239 0.8350
-500000.000000 58914.423973 8572.505752 -47.4437 2760.1667 217.4479 3025.0583 175.8453 57.8377 0.8918
-500000.000000 58914.423973 10060.524234 -1.4337 2899.6061 188.8752 3089.9151 190.8157 61.1776 0.8972
-500000.000000 58914.423973 11667.576957 2.6122 2961.3888 126.4332 3085.2099 200.6337 63.2027 0.9008
-500000.000000 58914.423973 13393.663921 5.1887 3011.9772 71.1028 3077.8914 211.4025 65.0960 0.9052
-500000.000000 58914.423973 15238.785126 8.5429 3051.9115 29.0743 3072.4428 223.1530 66.9180 0.9101
-500000.000000 58914.423973 17202.940572 31.4344 3100.6394 9.5136 3078.7186 236.4788 68.8450 0.9152
-500000.000000 58914.423973 19286.130259 59.3560 3152.9750 10.9401 3104.5591 251.8041 70.8728 0.9208
-500000.000000 58914.423973 21488.354186 73.4184 3180.2087 16.6246 3123.4148 266.6312 72.6849 0.9257
-500000.000000 58914.423973 23809.612355 62.3777 3176.9444 8.8481 3123.4148 279.8801 74.5237 0.9291
-500000.000000 82480.193562 60.562355 -17.6984 1025.4227 -16.1211 1027.0000 5.0000 3.5083 0.5077
-500000.000000 82480.193562 239.204186 -121.7153 1021.8458 -116.5611 1027.0000 5.0000 3.5058 0.5084
-500000.000000 82480.193562 536.880259 -165.7937 1019.7487 -158.5423 1027.0000 5.0000 3.5047 0.5087
-500000.000000 82480.193562 953.590572 -238.6118 1017.2390 -228.8508 1027.0000 5.0000 3.5034 0.5091
-500000.000000 82480.193562 1489.335126 -322.5746 1014.7267 -310.3012 1027.0000 5.0000 3.5028 0.5092
-500000.000000 82480.193562 2144.113921 -417.8667 1012.1766 -403.0432 1027.0000 5.0000 3.5028 0.5092
-500000.000000 82480.193562 2917.926957 -542.9154 1008.8247 -524.7401 1027.0000 5.0000 3.5034 0.5090
-500000.000000 82480.193562 3810.774234 -755.1597 1003.6971 -731.8568 1027.0000 5.0000 3.5044 0.5088
-500000.000000 82480.193562 4822.655752 315.1631 2860.0824 355.0807 2900.0000 20.0000 12.7145 0.5959
-500000.000000 82480.193562 5953.571511 57.0332 2746.4398 210.5934 2900.0000 50.0000 25.4877 0.7402
-500000.000000 82480.193562 7203.521511 -119.1660 2631.5081 149.3259 2900.0000 100.0000 40.3458 0.8372
-500000.000000 82480.193562 8572.505752 -90.9996 2716.0617 217.9970 3025.0583 200.0282 60.2318 0.9093
-500000.000000 82480.193562 10060.524234 26.4266 2926.9895 189.3522 3089.9151 211.9753 63.4301 0.9105
-500000.000000 82480.193562 11667.576957 82.3072 3040.7646 126.7525 3085.2099 218.7671 65.3314 0.9108
-500000.000000 82480.193562 13393.663921 120.8217 3127.4307 71.2824 3077.8914 226.7546 67.1194 0.9124
-500000.000000 82480.193562 15238.785126 144.0930 3187.3881 29.1477 3072.4428 236.0709 68.8566 0.9149
-500000.000000 82480.193562 17202.940572 174.1056 3243.2866 9.5376 3078.7186 247.3227 70.7373 0.9182
-500000.000000 82480.193562 19286.130259 198.2031 3291.7945 10.9677 3104.5591 260.9051 72.7484 0.9223
-500000.000000 82480.193562 21488.354186 201.5695 3308.3178 16.6665 3123.4148 274.2762 74.5613 0.9261
-500000.000000 82480.193562 23809.612355 174.6755 3289.2199 8.8704 3123.4148 286.3111 76.4291 0.9287
-500000.000000 106045.963151 60.562355 -18.3348 1024.8272 -16.1619 1027.0000 5.0000 3.5083 0.5077
-500000.000000 106045.963151 239.204186 -123.1271 1020.7291 -116.8562 1027.0000 5.0000 3.5058 0.5084
-500000.000000 106045.963151 536.880259 -167.6498 1018.2939 -158.9437 1027.0000 5.0000 3.5049 0.5086
-500000.000000 106045.963151 953.590572 -240.7289 1015.7013 -229.4302 1027.0000 5.0000 3.5037 0.5090
-500000.000000 106045.963151 1489.335126 -324.7904 1013.2964 -311.0868 1027.0000 5.0000 3.5031 0.5091
-500000.000000 106045.963151 2144.113921 -420.1234 1010.9401 -404.0636 1027.0000 5.0000 3.5031 0.5091
-500000.000000 106045.963151 2917.926957 -539.8367 1013.2318 -526.0686 1027.0000 5.0000 3.5054 0.5085
-500000.000000 106045.963151 3810.774234 -750.2480 1010.4616 -733.7097 1027.0000 5.0000 3.5109 0.5069
-500000.000000 106045.963151 4822.655752 345.6216 2889.6420 355.9797 2900.0000 20.0000 12.9666 0.5797
-500000.000000 106045.963151 5953.571511 185.5477 2874.4211 211.1266 2900.0000 50.0000 26.8107 0.7125
-500000.000000 106045.963151 7203.521511 75.1277 2825.4238 149.7039 2900.0000 100.0000 39.8571 0.8411
-500000.000000 106045.963151 8572.505752 179.5940 2986.1034 218.5489 3025.0583 203.7366 60.1619 0.9128
-500000.000000 106045.963151 10060.524234 266.3286 3166.4121 189.8316 3089.9151 216.2625 63.3499 0.9142
-500000.000000 106045.963151 11667.576957 278.3723 3236.5088 127.0734 3085.2099 223.4520 65.2420 0.9148
-500000.000000 106045.963151 13393.663921 271.4025 3277.8311 71.4629 3077.8914 231.6660 67.0773 0.9162
-500000.000000 106045.963151 15238.785126 250.5542 3293.7755 29.2215 3072.4428 241.0647 68.8239 0.9185
-500000.000000 106045.963151 17202.940572 237.8094 3306.9662 9.5618 3078.7186 252.2867 70.7273 0.9214
-500000.000000 106045.963151 19286.130259 222.7170 3316.2806 10.9955 3104.5591 265.7566 72.7758 0.9250
-500000.000000 106045.963151 21488.354186 192.8951 3299.6012 16.7087 3123.4148 278.9565 74.6387 0.9284
-500000.000000 106045.963151 23809.612355 138.2056 3252.7275 8.8929 3123.4148 290.7803 76.5761 0.9306
-500000.000000 129611.732740 60.562355 -16.8121 1026.3909 -16.2029 1027.0000 5.0000 3.5083 0.5077
-500000.000000 129611.732740 239.204186 -119.6422 1024.5106 -117.1528 1027.0000 5.0000 3.5064 0.5082
-500000.000000 129611.732740 536.880259 -161.7493 1024.5978 -159.3471 1027.0000 5.0000 3.5060 0.5083
-500000.000000 129611.732740 953.590572 -233.0135 1023.9990 -230.0125 1027.0000 5.0000 3.5052 0.5085
-500000.000000 129611.732740 1489.335126 -316.0992 1022.7772 -311.8763 1027.0000 5.0000 3.5047 0.5087
-500000.000000 129611.732740 2144.113921 -411.2103 1020.8789 -405.0891 1027.0000 5.0000 3.5046 0.5087
-500000.000000 129611.732740 2917.926957 10.5173 1564.9211 70.9823 1625.3861 20.0000 12.4842 0.6104
-500000.000000 129611.732740 3810.774234 -211.6775 1550.8944 -137.1858 1625.3861 50.0000 21.4984 0.8151
-500000.000000 129611.732740 4822.655752 564.6500 3107.7668 356.8832 2900.0000 50.0000 22.9145 0.7900
-500000.000000 129611.732740 5953.571511 488.6384 3176.9760 211.6624 2900.0000 100.0000 33.3398 0.8888
-500000.000000 129611.732740 7203.521511 355.2054 3105.1215 150.0839 2900.0000 92.3292 39.1977 0.8198
-500000.000000 129611.732740 8572.505752 437.9964 3243.9510 219.1036 3025.0583 188.3251 58.1370 0.9047
-500000.000000 129611.732740 10060.524234 415.6410 3315.2427 190.3134 3089.9151 204.1765 61.5821 0.9090
-500000.000000 129611.732740 11667.576957 321.0288 3278.8428 127.3959 3085.2099 214.3009 63.6288 0.9118
-500000.000000 129611.732740 13393.663921 224.7711 3231.0183 71.6442 3077.8914 224.9925 65.9455 0.9141
-500000.000000 129611.732740 15238.785126 137.5245 3180.6717 29.2956 3072.4428 236.4192 67.8239 0.9177
-500000.000000 129611.732740 17202.940572 73.2139 3142.3465 9.5860 3078.7186 249.2652 69.8254 0.9215
-500000.000000 129611.732740 19286.130259 22.2778 3115.8135 11.0234 3104.5591 264.0135 71.9401 0.9258
-500000.000000 129611.732740 21488.354186 -27.8447 3078.8190 16.7511 3123.4148 278.2047 73.8622 0.9295
-500000.000000 129611.732740 23809.612355 -90.7182 3023.7811 8.9155 3123.4148 290.7850 75.8576 0.9319
-500000.000000 153177.502329 60.562355 -17.3004 1025.9437 -16.2442 1027.0000 5.0000 3.5082 0.5077
-500000.000000 153177.502329 239.204186 -121.6420 1022.8090 -117.4509 1027.0000 5.0000 3.5056 0.5084
-500000.000000 153177.502329 536.880259 -165.7172 1021.0353 -159.7526 1027.0000 5.0000 3.5047 0.5087
-500000.000000 153177.502329 953.590572 -239.0375 1018.5603 -230.5978 1027.0000 5.0000 3.5035 0.5090
-500000.000000 153177.502329 1489.335126 -323.8557 1015.8143 -312.6699 1027.0000 5.0000 3.5029 0.5092
-500000.000000 153177.502329 2144.113921 -420.2708 1012.8491 -406.1199 1027.0000 5.0000 3.5028 0.5092
-500000.000000 153177.502329 2917.926957 -539.8207 1014.4024 -527.2232 1027.0000 5.0000 3.5050 0.5086
-500000.000000 153177.502329 3810.774234 -754.3414 1008.5795 -735.9209 1027.0000 5.0000 3.5096 0.5073
-500000.000000 153177.502329 4822.655752 340.5441 2882.7528 357.7913 2900.0000 20.0000 12.8950 0.5843
-500000.000000 153177.502329 5953.571511 181.0126 2868.8116 212.2010 2900.0000 50.0000 26.5028 0.7190
-500000.000000 153177.502329 7203.521511 93.9559 2843.4902 150.4658 2900.0000 100.0000 39.6124 0.8431
-500000.000000 153177.502329 8572.505752 165.1526 2970.5498 219.6611 3025.0583 162.6488 54.1053 0.8893
-500000.000000 153177.502329 10060.524234 179.8236 3078.9410 190.7976 3089.9151 180.6339 58.3249 0.8957
-500000.000000 153177.502329 11667.576957 104.9294 3062.4192 127.7201 3085.2099 192.7774 60.7276 0.9008
-500000.000000 153177.502329 13393.663921 25.8475 3031.9124 71.8265 3077.8914 205.3059 64.6753 0.9008
-500000.000000 153177.502329 15238.785126 -35.7843 3007.2884 29.3702 3072.4428 218.3897 66.7927 0.9065
-500000.000000 153177.502329 17202.940572 -81.6087 2987.4995 9.6104 3078.7186 232.7347 68.9476 0.9122
-500000.000000 153177.502329 19286.130259 -116.6840 2976.8236 11.0514 3104.5591 248.8474 71.1275 0.9183
-500000.000000 153177.502329 21488.354186 -150.4846 2956.1364 16.7938 3123.4148 264.2889 73.0976 0.9235
-500000.000000 153177.502329 23809.612355 -196.8227 2917.6540 8.9381 3123.4148 278.0215 75.1418 0.9270
-500000.000000 176743.271918 60.562355 -16.7311 1026.5545 -16.2856 1027.0000 5.0000 3.5082 0.5077
-500000.000000 176743.271918 239.204186 -120.6671 1024.0834 -117.7505 1027.0000 5.0000 3.5056 0.5084
-500000.000000 176743.271918 536.880259 -164.1246 1023.0355 -160.1601 1027.0000 5.0000 3.5044 0.5088
-500000.000000 176743.271918 953.590572 -236.8728 1021.3132 -231.1860 1027.0000 5.0000 3.5030 0.5092
-500000.000000 176743.271918 1489.335126 -321.1533 1019.3142 -313.4676 1027.0000 5.0000 3.5023 0.5093
-500000.000000 176743.271918 2144.113921 -417.1265 1017.0294 -407.1559 1027.0000 5.0000 3.5023 0.5093
-500000.000000 176743.271918 2917.926957 -541.8189 1013.7492 -528.5681 1027.0000 5.0000 3.5029 0.5092
-500000.000000 176743.271918 3810.774234 -756.4199 1008.3783 -737.7983 1027.0000 5.0000 3.5040 0.5089
-500000.000000 176743.271918 4822.655752 380.9493 2922.2453 358.7040 2900.0000 20.0000 12.6975 0.5969
-500000.000000 176743.271918 5953.571511 244.8988 2932.1565 212.7423 2900.0000 50.0000 25.3537 0.7429
-500000.000000 176743.271918 7203.521511 181.8661 2931.0165 150.8496 2900.0000 100.0000 39.8864 0.8409
-500000.000000 176743.271918 8572.505752 208.0659 3012.9028 115.3235 2920.1603 143.4284 49.8839 0.8790
-500000.000000 176743.271918 10060.524234 283.6199 3182.2506 220.7439 3119.3746 165.8154 55.2452 0.8890
