X,Y,Z,formation,formationID
439216.73155,4779328.63289,4705.50369,seds1_AU,3
440176.23411,4779013.86719,4685.16176,seds1_AU,3
441136.37951,4778700.0657,4589.30375,seds1_AU,3
442095.67349,4778384.9907,4544.42605,seds1_AU,3
443054.85243,4778070.87239,4603.51962,seds1_AU,3
453101.24869,4774780.37638,4661.16453,seds1_AU,3
454060.74128,4774465.60675,4720.66724,seds1_AU,3
455019.36384,4774151.78764,4636.93884,seds1_AU,3
455978.64049,4773837.81939,4641.55354,seds1_AU,3
457208.9174,4773434.53206,4588.8613,seds1_AU,3
458167.19998,4773120.20462,4634.2642,seds1_AU,3
459126.12879,4772806.83896,4523.83484,seds1_AU,3
463850.18449,4771258.37959,4390.06886,seds1_AU,3
464808.49397,4770945.20648,4565.44678,seds1_AU,3
465767.46407,4770630.77148,4534.49935,seds1_AU,3
466725.56736,4770317.28831,4542.7658,seds1_AU,3
467684.3308,4770002.54301,4614.90057,seds1_AU,3
468642.22785,4769688.74979,4568.19294,seds1_AU,3
469600.77888,4769374.80551,4631.28023,seds1_AU,3
470558.46982,4769060.70226,4611.12696,seds1_AU,3
471516.80929,4768747.55901,4533.31081,seds1_AU,3
475025.55444,4767597.65085,5198.49833,seds1_AU,3
475983.41437,4767283.78412,5204.92472,seds1_AU,3
476941.17146,4766969.76222,5186.70187,seds1_AU,3
478991.20889,4766298.39259,5686.48303,seds1_AU,3
479948.63941,4765984.99466,5825.85699,seds1_AU,3
480906.72395,4765671.44403,5859.21061,seds1_AU,3
481863.94941,4765357.73567,5927.45042,seds1_AU,3
482821.82878,4765043.87437,5962.22263,seds1_AU,3
483779.60552,4764729.85769,5959.57654,seds1_AU,3
485688.79242,4764104.67744,6028.09636,seds2_PA,5
486646.25958,4763791.30691,6077.8974,seds2_PA,5
487603.62444,4763477.78101,5994.31894,seds2_PA,5
488560.88699,4763164.09974,5999.64875,seds2_PA,5
489518.80338,4762850.26446,5939.4348,seds2_PA,5
490475.86122,4762536.27234,5927.29177,seds2_PA,5
491432.8151,4762223.23619,5993.01279,seds2_PA,5
492390.42447,4761908.93434,5988.00133,seds2_PA,5
493347.17413,4761595.58736,5994.31614,seds2_PA,5
494304.57773,4761282.08577,6019.89137,seds2_PA,5
495261.1233,4760968.42799,5777.09775,seds2_PA,5
496218.32271,4760654.61535,5042.27711,seds2_PA,5
497175.41946,4760341.75846,4453.8327,seds2_PA,5
498815.70414,4759804.43533,3864.99314,seds2_PA,5
499772.52451,4759491.15621,3846.25725,seds2_PA,5
500729.24308,4759177.72152,4004.35561,seds2_PA,5
501685.85982,4758864.13127,4169.84928,seds2_PA,5
502642.37473,4758550.38547,4250.54569,seds2_PA,5
503599.54405,4758237.59498,4321.008,seds2_PA,5
504555.85541,4757923.53795,4084.88895,seds2_PA,5
505512.06594,4757610.4367,2750.4212,seds2_PA,5
506606.37142,4757251.46186,2544.2239,seds2_PA,5
507563.11958,4756938.02608,2498.89746,seds2_PA,5
508519.76773,4756625.54585,2462.36702,seds2_PA,5
509475.5575,4756311.79973,2447.70786,seds2_PA,5
510432.00297,4755999.00808,2471.76114,seds2_PA,5
511388.345,4755684.94933,2600.45091,seds2_PA,5
512344.5877,4755371.84614,2499.83011,seds2_PA,5
513300.7291,4755058.5872,2506.55884,seds2_PA,5
514256.76917,4754745.17249,2519.60139,seds2_PA,5
555825.83878,4741125.77962,2646.87367,seds2_PA,5
556779.71729,4740813.18214,2861.77564,seds2_PA,5
557734.2496,4740500.42091,3110.03039,seds2_PA,5
558687.94016,4740188.622,3380.99678,seds2_PA,5
559641.52021,4739875.55541,3281.89094,seds2_PA,5
560595.76542,4739563.43605,3047.47753,seds2_PA,5
561549.91134,4739251.16013,3100.1307,seds2_PA,5
562503.20485,4738938.73569,3395.4194,seds2_PA,5
563457.15222,4738626.14676,3589.54313,seds2_PA,5
564411.00027,4738313.40128,3820.6149,seds2_PA,5
565364.749,4738000.49925,4003.113,seds2_PA,5
566317.65801,4737688.56055,4220.8633,seds2_PA,5
567271.96121,4737375.33689,4308.41584,seds2_PA,5
568224.67214,4737063.08535,4288.90827,seds2_PA,5
569178.78984,4736750.65971,4209.54982,seds2_PA,5
570132.05564,4736438.08631,4045.29294,seds2_PA,5
571085.23592,4736126.46773,3859.63842,seds2_PA,5
572038.30382,4735813.58127,3734.17675,seds2_PA,5
572992.03925,4735501.64023,3693.94673,seds2_PA,5
573944.90918,4735188.44059,3703.81255,seds2_PA,5
574898.44689,4734876.18615,3833.88078,seds2_PA,5
575851.14764,4734564.89605,3777.6229,seds2_PA,5
576804.48797,4734252.3282,3628.42622,seds2_PA,5
577757.72946,4733939.6036,3540.16391,seds2_PA,5
578710.8871,4733627.83359,3588.61949,seds2_PA,5
579663.17867,4733314.80573,3621.103,seds2_PA,5
580616.13918,4733002.72235,3677.44294,seds2_PA,5
581569.00119,4732690.48222,3855.45078,seds2_PA,5
582521.76468,4732378.08535,4012.96736,seds2_PA,5
583474.44553,4732066.6431,4113.63526,seds2_PA,5
584427.76437,4731753.92187,4194.70416,seds2_PA,5
585380.24864,4731442.16603,4293.42258,seds2_PA,5
586332.63471,4731130.25345,4425.64332,seds2_PA,5
587285.67469,4730818.17291,4480.1695,seds2_PA,5
588237.86429,4730505.94676,4549.95668,seds2_PA,5
