x y z density stdev
235570.067970 283979.369742 13700.000000 2860.1160 NaN
235570.067970 283979.369742 14300.000000 2868.9749 NaN
235570.067970 283979.369742 14900.000000 2873.9631 NaN
235570.067970 283979.369742 15500.000000 2879.7726 NaN
235570.067970 283979.369742 16100.000000 2885.3516 NaN
235570.067970 283979.369742 16700.000000 2890.6956 NaN
235570.067970 283979.369742 17300.000000 2895.7999 NaN
235570.067970 283979.369742 17900.000000 2901.4727 NaN
235570.067970 283979.369742 18500.000000 2906.6335 NaN
235570.067970 283979.369742 19100.000000 2912.3687 NaN
235570.067970 283979.369742 19700.000000 2918.1366 NaN
235570.067970 283979.369742 20300.000000 2923.1064 NaN
235570.067970 283979.369742 20900.000000 2929.4916 NaN
235570.067970 283979.369742 21500.000000 2934.5159 NaN
235570.067970 283979.369742 22100.000000 2940.6892 NaN
235570.067970 283979.369742 22700.000000 2945.7664 NaN
235570.067970 283979.369742 23300.000000 2951.7199 NaN
235570.067970 283979.369742 23900.000000 2957.7057 NaN
235570.067970 283979.369742 24500.000000 2963.4364 NaN
235570.067970 283979.369742 25100.000000 2968.0420 NaN
235570.067970 283979.369742 25700.000000 2968.0420 NaN
235570.067970 283979.369742 26300.000000 2968.0420 NaN
235570.067970 283979.369742 26900.000000 2968.0420 NaN
235570.067970 283979.369742 27500.000000 2968.0420 NaN
235570.067970 283979.369742 28100.000000 2968.0420 NaN
235570.067970 283979.369742 28700.000000 2968.0420 NaN
235570.067970 283979.369742 29300.000000 2968.0420 NaN
235570.067970 283979.369742 29900.000000 2968.0420 NaN
235720.137456 280859.946572 450.000000 1629.9196 NaN
235720.137456 280859.946572 1050.000000 1629.9196 NaN
235720.137456 280859.946572 1650.000000 1629.9196 NaN
235720.137456 280859.946572 2250.000000 1629.9196 NaN
235720.137456 280859.946572 2850.000000 1748.2027 NaN
235720.137456 280859.946572 3450.000000 2045.6504 NaN
235720.137456 280859.946572 4050.000000 2271.0680 NaN
235720.137456 280859.946572 4650.000000 2361.3417 NaN
235720.137456 280859.946572 5250.000000 2417.5745 NaN
235720.137456 280859.946572 5850.000000 2471.3793 NaN
235720.137456 280859.946572 6450.000000 2520.4658 NaN
235720.137456 280859.946572 7050.000000 2551.9594 NaN
235720.137456 280859.946572 7650.000000 2575.5505 NaN
235720.137456 280859.946572 8250.000000 2600.1046 NaN
235720.137456 280859.946572 8850.000000 2625.8804 NaN
235720.137456 280859.946572 9450.000000 2652.9627 NaN
235720.137456 280859.946572 10050.000000 2681.4222 NaN
235720.137456 280859.946572 10650.000000 2711.3164 NaN
235720.137456 280859.946572 11250.000000 2742.4671 NaN
235720.137456 280859.946572 11850.000000 2775.5769 NaN
235720.137456 280859.946572 12450.000000 2809.5102 NaN
235720.137456 280859.946572 13050.000000 2844.6934 NaN
235720.137456 280859.946572 13650.000000 2873.1737 NaN
235720.137456 280859.946572 14250.000000 2881.3632 NaN
235720.137456 280859.946572 14850.000000 2886.1513 NaN
235720.137456 280859.946572 15450.000000 2891.2316 NaN
235720.137456 280859.946572 16050.000000 2896.3387 NaN
235720.137456 280859.946572 16650.000000 2901.4727 NaN
235720.137456 280859.946572 17250.000000 2906.9059 NaN
235720.137456 280859.946572 17850.000000 2912.3687 NaN
