x y z
-500000.000000 106045.963151 536.880259
-500000.000000 106045.963151 953.590572
-500000.000000 106045.963151 1489.335126
-500000.000000 106045.963151 2144.113921
-500000.000000 106045.963151 2917.926957
-500000.000000 106045.963151 3810.774234
-500000.000000 106045.963151 4822.655752
-500000.000000 106045.963151 5953.571511
-500000.000000 106045.963151 7203.521511
-500000.000000 106045.963151 8572.505752
-500000.000000 106045.963151 10060.524234
-500000.000000 106045.963151 11667.576957
-500000.000000 106045.963151 13393.663921
-500000.000000 106045.963151 15238.785126
-500000.000000 106045.963151 17202.940572
-500000.000000 106045.963151 19286.130259
-500000.000000 106045.963151 21488.354186
-500000.000000 106045.963151 23809.612355
-500000.000000 129611.732740 60.562355
-500000.000000 129611.732740 239.204186
-500000.000000 129611.732740 536.880259
-500000.000000 129611.732740 953.590572
-500000.000000 129611.732740 1489.335126
-500000.000000 129611.732740 2144.113921
-500000.000000 129611.732740 2917.926957
-500000.000000 129611.732740 3810.774234
-500000.000000 129611.732740 4822.655752
-500000.000000 129611.732740 5953.571511
-500000.000000 129611.732740 7203.521511
-500000.000000 129611.732740 8572.505752
-500000.000000 129611.732740 10060.524234
-500000.000000 129611.732740 11667.576957
-500000.000000 129611.732740 13393.663921
-500000.000000 129611.732740 15238.785126
-500000.000000 129611.732740 17202.940572
-500000.000000 129611.732740 19286.130259
-500000.000000 129611.732740 21488.354186
-500000.000000 129611.732740 23809.612355
-500000.000000 153177.502329 60.562355
-500000.000000 153177.502329 239.204186
-500000.000000 153177.502329 536.880259
-500000.000000 153177.502329 953.590572
-500000.000000 153177.502329 1489.335126
-500000.000000 153177.502329 2144.113921
-500000.000000 153177.502329 2917.926957
-500000.000000 153177.502329 3810.774234
-500000.000000 153177.502329 4822.655752
-500000.000000 153177.502329 5953.571511
-500000.000000 153177.502329 7203.521511
-500000.000000 153177.502329 8572.505752
-500000.000000 153177.502329 10060.524234
-500000.000000 153177.502329 11667.576957
-500000.000000 153177.502329 13393.663921
-500000.000000 153177.502329 15238.785126
-500000.000000 153177.502329 17202.940572
-500000.000000 153177.502329 19286.130259
-500000.000000 153177.502329 21488.354186
-500000.000000 153177.502329 23809.612355
-500000.000000 176743.271918 60.562355
-500000.000000 176743.271918 239.204186
-500000.000000 176743.271918 536.880259
-500000.000000 176743.271918 953.590572
-500000.000000 176743.271918 1489.335126
-500000.000000 176743.271918 2144.113921
-500000.000000 176743.271918 2917.926957
-500000.000000 176743.271918 3810.774234
-500000.000000 176743.271918 4822.655752
-500000.000000 176743.271918 5953.571511
-500000.000000 176743.271918 7203.521511
-500000.000000 176743.271918 8572.505752
-500000.000000 176743.271918 10060.524234
-500000.000000 176743.271918 11667.576957
-500000.000000 176743.271918 13393.663921
-500000.000000 176743.271918 15238.785126
-500000.000000 176743.271918 17202.940572
-500000.000000 176743.271918 19286.130259
-500000.000000 176743.271918 21488.354186
-500000.000000 176743.271918 23809.612355
-500000.000000 200309.041507 60.562355
-500000.000000 200309.041507 239.204186
-500000.000000 200309.041507 536.880259
-500000.000000 200309.041507 953.590572
-500000.000000 200309.041507 1489.335126
-500000.000000 200309.041507 2144.113921
-500000.000000 200309.041507 2917.926957
-500000.000000 200309.041507 3810.774234
-500000.000000 200309.041507 4822.655752
-500000.000000 200309.041507 5953.571511
-500000.000000 200309.041507 7203.521511
-500000.000000 200309.041507 8572.505752
-500000.000000 200309.041507 10060.524234
-500000.000000 200309.041507 11667.576957
-500000.000000 200309.041507 13393.663921
-500000.000000 200309.041507 15238.785126
-500000.000000 200309.041507 17202.940572
-500000.000000 200309.041507 19286.130259
-500000.000000 200309.041507 21488.354186
-500000.000000 200309.041507 23809.612355
-500000.000000 223874.811096 60.562355
-500000.000000 223874.811096 239.204186
-500000.000000 223874.811096 536.880259
-500000.000000 223874.811096 953.590572
-500000.000000 223874.811096 1489.335126
-500000.000000 223874.811096 2144.113921
-500000.000000 223874.811096 2917.926957
-500000.000000 223874.811096 3810.774234
-500000.000000 223874.811096 4822.655752
-500000.000000 223874.811096 5953.571511
-500000.000000 223874.811096 7203.521511
-500000.000000 223874.811096 8572.505752
-500000.000000 223874.811096 10060.524234
-500000.000000 223874.811096 11667.576957
-500000.000000 223874.811096 13393.663921
-500000.000000 223874.811096 15238.785126
-500000.000000 223874.811096 17202.940572
-500000.000000 223874.811096 19286.130259
-500000.000000 223874.811096 21488.354186
-500000.000000 223874.811096 23809.612355
-500000.000000 247440.580685 60.562355
-500000.000000 247440.580685 239.204186
-500000.000000 247440.580685 536.880259
-500000.000000 247440.580685 953.590572
-500000.000000 247440.580685 1489.335126
-500000.000000 247440.580685 2144.113921
-500000.000000 247440.580685 2917.926957
-500000.000000 247440.580685 3810.774234
-500000.000000 247440.580685 4822.655752
-500000.000000 247440.580685 5953.571511
-500000.000000 247440.580685 7203.521511
-500000.000000 247440.580685 8572.505752
